2025-07-20 23:49:47,840 INFO    MainThread:80366 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-20 23:49:47,841 INFO    MainThread:80366 [wandb_setup.py:_flush():80] Configure stats pid to 80366
2025-07-20 23:49:47,841 INFO    MainThread:80366 [wandb_setup.py:_flush():80] Loading settings from /home/cc/.config/wandb/settings
2025-07-20 23:49:47,841 INFO    MainThread:80366 [wandb_setup.py:_flush():80] Loading settings from /media/cc/2T/liouvilleViT/wandb/settings
2025-07-20 23:49:47,841 INFO    MainThread:80366 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-20 23:49:47,841 INFO    MainThread:80366 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /media/cc/2T/liouvilleViT/wandb/run-20250720_234947-7mxv7qx1/logs/debug.log
2025-07-20 23:49:47,841 INFO    MainThread:80366 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /media/cc/2T/liouvilleViT/wandb/run-20250720_234947-7mxv7qx1/logs/debug-internal.log
2025-07-20 23:49:47,841 INFO    MainThread:80366 [wandb_init.py:init():830] calling init triggers
2025-07-20 23:49:47,841 INFO    MainThread:80366 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0002, 'epochs': 100, 'batch_size': 1, 'num_blocks_per_grid': 10000, '_wandb': {}}
2025-07-20 23:49:47,841 INFO    MainThread:80366 [wandb_init.py:init():871] starting backend
2025-07-20 23:49:48,047 INFO    MainThread:80366 [wandb_init.py:init():874] sending inform_init request
2025-07-20 23:49:48,053 INFO    MainThread:80366 [wandb_init.py:init():882] backend started and connected
2025-07-20 23:49:48,054 INFO    MainThread:80366 [wandb_init.py:init():953] updated telemetry
2025-07-20 23:49:48,062 INFO    MainThread:80366 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-20 23:49:48,806 INFO    MainThread:80366 [wandb_init.py:init():1029] starting run threads in backend
2025-07-20 23:49:48,951 INFO    MainThread:80366 [wandb_run.py:_console_start():2458] atexit reg
2025-07-20 23:49:48,951 INFO    MainThread:80366 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-20 23:49:48,951 INFO    MainThread:80366 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-20 23:49:48,951 INFO    MainThread:80366 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-20 23:49:48,952 INFO    MainThread:80366 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-20 23:49:53,191 INFO    MsgRouterThr:80366 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
